product_name,price_sar,distributor_name,brand,distributor_phone,Material Type,Keywords,image_url,Contact Number,url
Provilat Temporary Eugenol-Free Luting Cement,132.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,Restorative,"Composite, Bonding, Adhesive, Resin, Cement, Etch, Restorative",https://tp-prod.fra1.digitaloceanspaces.com/g_product/174551/ZPFClE4ArPlOf5qSdGcZlbIJnAv3UT1bSB2U1j8L-1709816771/image.webp,,https://sa.toothpick.com/en/products/provilat__temporary__eugenol-free__luting__cement-174877
Softliner Chairside Soft Denture Relining Material,583.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,,,https://tp-prod.fra1.digitaloceanspaces.com/g_product/174552/Dk1MiS1fnV5upNGCYhO8f27CQieSxW9gCAYlAISD-1709646025/image.webp,,https://sa.toothpick.com/en/products/softliner__chairside__soft__denture__relining__material-174878
Fluoraphat Pro Melon,132.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,,,https://tp-prod.fra1.digitaloceanspaces.com/g_product/174553/APh9kKvkcvt5EwlRC4C7iUQv8Sjqh0Ms2EZfFQV3-1731409537/image.webp,,https://sa.toothpick.com/en/products/fluoraphat__pro__melon-174879
Fisseal Light-Curing Pits & Fissure Sealant With Fluoride,132.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,Pedodontic,"Pedodontic, Kids, Fluoride",https://tp-prod.fra1.digitaloceanspaces.com/g_product/174554/YCVBwmKbOpsgfwL642NsZ6bz7FAAYk9i1fumw4jB-1709646738/image.webp,,https://sa.toothpick.com/en/products/fisseal__light-curing__pits__%26__fissure__sealant__with__fluoride-174880
Success CD Temporary Crown & Bridge Material A1,319.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,,,https://tp-prod.fra1.digitaloceanspaces.com/g_product/174556/w3Ju8Dl2hgTby3fCubrOqlvK9Zb7ze1OMGpWgosy-1709647152/image.webp,,https://sa.toothpick.com/en/products/success__cd__temporary__crown__%26__bridge__material__a1-174882
Success CD Temporary Crown & Bridge Material A3,319.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,,,https://tp-prod.fra1.digitaloceanspaces.com/g_product/174558/uTVC9JwFiwwSXscvhyLsFpmZFxN7IHVtnWPASaBl-1709647903/image.webp,,https://sa.toothpick.com/en/products/success__cd__temporary__crown__%26__bridge__material__a3-174884
Medifil Glass Ionomer Filling Cement A2,154.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,Restorative,"Composite, Bonding, Adhesive, Resin, Cement, Etch, Restorative",https://tp-prod.fra1.digitaloceanspaces.com/g_product/174560/Nb0Lz6gCn4lYDlPrugbXdjBinEEeMlxJ1qYy2VD0-1709648312/image.webp,,https://sa.toothpick.com/en/products/medifil__glass__ionomer__filling__cement__a2-174886
Medifil Glass Ionomer Filling Cement A1,154.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,Restorative,"Composite, Bonding, Adhesive, Resin, Cement, Etch, Restorative",https://tp-prod.fra1.digitaloceanspaces.com/g_product/174559/g8K2EDV60M1BNwQuC9Pa6NULVV12WcMHeXWDffxV-1709648195/image.webp,,https://sa.toothpick.com/en/products/medifil__glass__ionomer__filling__cement__a1-174885
Medifil Glass Ionomer Filling Cement A3,154.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,Restorative,"Composite, Bonding, Adhesive, Resin, Cement, Etch, Restorative",https://tp-prod.fra1.digitaloceanspaces.com/g_product/174561/qg9iUXRSQ1YszEKylPclgkLQusRF3cXgFZRN2VR7-1709648370/image.webp,,https://sa.toothpick.com/en/products/medifil__glass__ionomer__filling__cement__a3-174887
Medicem Glass Ionomer Luting Cement,154.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,Restorative,"Composite, Bonding, Adhesive, Resin, Cement, Etch, Restorative",https://tp-prod.fra1.digitaloceanspaces.com/g_product/174555/Po8Ph7YonyREblIt26oK2Nq8xdT8vpKRnUPScPai-1709646955/image.webp,,https://sa.toothpick.com/en/products/medicem__glass__ionomer__luting__cement-174881
Success CD Temporary Crown & Bridge Material A2,319.0,Abdulrehman Al Gosaibi GT,Promedica,0114793000-114771374,,,https://tp-prod.fra1.digitaloceanspaces.com/g_product/174557/V2Gq4Uo8gmRdBA1xuImp2IcEg5dFGg8wVx8vKiNR-1709647848/image.webp,,https://sa.toothpick.com/en/products/success__cd__temporary__crown__%26__bridge__material__a2-174883
